District,Ward,"Geos(String format: Long,Lat)",Google map link,Open for FD Zones?,
Tân Bình,5,"[106.66081237793,10.7889671325684 106.657699584961,10.7905988693237 106.659317016602,10.7933101654054 106.66178894043,10.7917346954346 106.666000366211,10.7907333374023 106.666870117188,10.7896203994751 106.664779663086,10.7901086807252 106.665214538574,10.7886734008789 106.664299011231,10.7871026992799 106.66081237793,10.7889671325684]",,OK,
Tân Bình,6,"[106.655937194824,10.7783737182617 106.655334472656,10.7805442810059 106.65421295166,10.7844772338867 106.656829833984,10.7851953506471 106.656967163086,10.784616470337 106.66081237793,10.7889671325684 106.664299011231,10.7871026992799 106.66463470459,10.7869205474855 106.660278320313,10.7821245193481 106.656089782715,10.7778301239014 106.655937194824,10.7783737182617]",,OK,
Tân Bình,7,"[106.65421295166,10.7844772338867 106.652534484863,10.7906723022462 106.65340423584,10.792881011963 106.657699584961,10.7905988693237 106.66081237793,10.7889671325684 106.656967163086,10.784616470337 106.656829833984,10.7851953506471 106.65421295166,10.7844772338867]",,OK,
Tân Bình,8,"[106.655334472656,10.7805442810059 106.653076171875,10.7793731689454 106.649887084961,10.7790746688843 106.651000976562,10.7846689224243 106.652534484863,10.7906723022462 106.65421295166,10.7844772338867 106.655334472656,10.7805442810059]",,OK,
Tân Bình,9,"[106.649070739746,10.7732448577881 106.648063659668,10.7747917175292 106.649742126465,10.7770681381226 106.649887084961,10.7790746688843 106.653076171875,10.7793731689454 106.655334472656,10.7805442810059 106.655937194824,10.7783737182617 106.653213500977,10.7754154205323 106.652496337891,10.7687797546387 106.652030944824,10.7689552307129 106.649070739746,10.7732448577881]",,OK,
Tân Bình,10,"[106.647705078125,10.7752437591553 106.643356323242,10.7813873291016 106.642059326172,10.7849340438844 106.641639709473,10.7859277725221 106.643409729004,10.7867002487183 106.646530151367,10.78799533844 106.651000976562,10.7846689224243 106.649887084961,10.7790746688843 106.649742126465,10.7770681381226 106.648063659668,10.7747917175292 106.647705078125,10.7752437591553]",,OK,
Tân Bình,11,"[106.643409729004,10.7867002487183 106.642837524414,10.7891330718995 106.643974304199,10.7918148040771 106.64680480957,10.7903442382812 106.647308349609,10.7918624877929 106.652137756348,10.7935628890991 106.65340423584,10.792881011963 106.652534484863,10.7906723022462 106.651000976562,10.7846689224243 106.646530151367,10.78799533844 106.643409729004,10.7867002487183]",,OK,
Tân Bình,12,"[106.643974304199,10.7918148040771 106.645866394043,10.7969169616699 106.646980285644,10.7963228225709 106.648094177246,10.8090524673461 106.653381347656,10.8099393844605 106.652572631836,10.8014841079712 106.653938293457,10.8013648986816 106.653762817383,10.7989559173585 106.655426025391,10.798734664917 106.654273986816,10.797950744629 106.654670715332,10.7965078353882 106.652137756348,10.7935628890991 106.647308349609,10.7918624877929 106.64680480957,10.7903442382812 106.643974304199,10.7918148040771]",,OK,
Tân Bình,13,"[106.645866394043,10.7969169616699 106.636741638184,10.8017711639404 106.635803222656,10.8038358688355 106.637596130371,10.8042316436768 106.636184692383,10.8061532974244 106.639785766602,10.8076267242432 106.6416015625,10.8098173141481 106.644325256348,10.8107938766481 106.645156860352,10.8096084594726 106.648094177246,10.8090524673461 106.646980285644,10.7963228225709 106.645866394043,10.7969169616699]",,OK,
Tân Bình,14,"[106.643409729004,10.7867002487183 106.641639709473,10.7859277725221 106.64119720459,10.7870645523072 106.638366699219,10.7956151962281 106.636741638184,10.8017711639404 106.645866394043,10.7969169616699 106.643974304199,10.7918148040771 106.642837524414,10.7891330718995 106.643409729004,10.7867002487183]",,Not open,
